Wind_Speed,Rotate_Speed,Pitch_Angle,Wind_Direction,Power_Active
4.924122,1149,-0.04,167.5656,203.9931
5.239794,1199,-0.04,171.0344,286.5522
6.157123,1354,-0.04,179.6134,488.9479
5.809565,1339,-0.04,173.5198,332.7123
6.059303,1430,-0.04,174.8037,376.693
6.006297,1766,2.32,185.1553,409.2739
6.534075,1634,-0.03,188.1815,613.2549
6.344666,1384,-0.04,186.5671,579.2559
6.191122,1398,-0.02,183.6622,477.893
5.880622,1398,-0.04,172.1451,364.1868
5.698624,1371,-0.04,179.2705,378.969
6.732203,1344,-0.04,166.8288,515.9255
6.211573,1365,-0.04,182.9705,436.3399
5.560082,1200,-0.04,194.5774,367.4171
6.979961,1754,0.01,193.5811,730.4528
6.416797,1329,-0.03,189.2662,531.5052
6.869418,1412,-0.02,178.5324,714.312
7.227088,1590,-0.04,191.7888,770.2427
6.948055,1754,-0.04,188.8109,689.0986
5.981828,1208,-0.04,190.9431,493.5264
6.199924,1224,-0.05,196.7887,546.2773
5.343833,1107,-0.05,177.5005,285.6457
5.554238,1416,-0.05,180.5563,337.5559
6.446434,1517,-0.04,183.094,580.6234
6.205083,1464,-0.04,175.9299,400.7766
6.017665,1137,-0.05,187.0465,452.5122
5.451143,1237,-0.05,186.9518,322.4093
6.783349,1752,-0.04,194.0445,574.0844
6.231716,1082,-0.05,179.8493,494.6472
6.79141,1263,-0.02,179.9202,572.1608
6.236291,1453,-0.04,187.7877,513.3677
5.069723,1144,-0.04,189.3283,270.562
4.747017,1055,-0.04,185.3924,256.2725
5.681434,1386,-0.03,187.3295,426.8177
5.701327,1244,-0.03,180.897,332.4176
5.827982,1273,-0.03,205.5964,368.3828
4.749286,1049,-0.03,217.4541,177.128
3.94926,1057,-0.03,189.9029,123.2674
7.215697,1645,-0.04,157.101,636.1452
7.250571,1567,-0.02,181.9929,757.9897
6.193754,1559,-0.04,179.499,535.2457
5.543003,1111,-0.04,176.7746,340.7481
6.694971,1737,-0.05,174.8156,658.0757
6.58633,1762,3.95,195.4086,465.2895
5.872077,1325,-0.03,188.8466,349.6925
8.074929,1658,-0.05,198.8851,1037.67
6.819444,1059,-0.04,194.9664,685.796
5.608777,1055,-0.03,201.0456,310.7824
6.907891,1660,-0.04,182.6268,721.0172
4.711663,1074,-0.05,186.5191,295.132
6.040216,1103,-0.01,162.9751,405.6996
6.619305,1664,-0.03,184.7032,544.4922
6.473922,1593,-0.04,177.9655,510.7234
6.962097,1056,-0.04,133.1732,591.4644
5.329078,1232,-0.04,208.1823,233.2765
6.792511,1189,-0.05,213.2713,597.0942
5.419263,1229,-0.05,154.0013,296.8106
8.266193,1346,-0.04,180.6772,1088.474
7.474623,1491,-0.04,169.387,897.3714
9.854658,1783,5.78,186.9873,1436.437
9.322954,1795,9.32,167.7835,1377.074
8.494766,1730,1.76,181.2632,1299.879
10.97429,1765,7.7,185.4325,1782.407
10.01519,1762,1.07,186.3284,1434.388
8.114882,1740,-0.05,170.9941,1047.211
8.829777,1778,0.48,179.79,1293.005
8.755048,1778,9.2,180.9394,1285.576
11.79674,1765,12.65,173.4083,1938.948
11.48884,1737,0.52,174.6301,1846.328
10.91187,1788,4.72,173.9361,1763.443
9.415728,1772,0.1,187.2362,1406.412
11.944,1759,7.5,163.7814,1956.768
10.20656,1777,8.99,182.2848,1630.994
10.22187,1759,0.26,177.434,1612.631
9.818139,1765,1.22,170.0165,1559.242
9.052497,1769,0.0,181.2062,1259.223
9.323375,1769,1.62,180.8567,1368.762
9.915662,1748,2.03,171.9848,1548.692
10.05555,1778,0.63,188.8969,1579.659
10.36586,1767,1.62,169.2922,1713.158
10.4584,1767,3.53,176.1391,1742.096
10.17595,1747,1.18,185.3004,1617.695
10.4847,1759,1.36,192.1531,1678.957
10.49534,1758,0.06,182.3194,1679.747
8.93645,1762,0.74,181.9242,1380.022
9.333669,1774,0.81,180.0981,1479.235
9.267103,1767,0.77,178.2277,1399.565
9.240184,1770,-0.05,179.6299,1297.702
9.829838,1754,0.31,187.296,1650.742
10.28023,1734,1.24,178.3509,1682.851
9.283259,1763,0.61,182.8315,1443.932
10.00851,1769,1.04,179.9778,1646.861
8.61408,1755,0.46,183.1256,1242.25
9.357367,1780,0.79,178.4592,1444.479
9.37117,1755,0.01,182.2678,1371.549
9.145168,1772,0.37,185.357,1353.645
8.53243,1770,2.13,181.0594,1287.838
10.22462,1737,1.66,192.9454,1657.215
8.373498,1726,-0.03,188.9703,1059.568
9.176465,1758,0.49,191.1688,1312.502
8.342175,1755,-0.04,172.6215,1070.654
8.367837,1754,1.42,189.173,1135.219
10.31221,1722,1.18,182.5167,1675.329
10.83717,1778,1.55,160.2476,1789.232
10.1671,1763,2.13,192.8346,1610.309
8.553316,1766,2.06,183.3009,1273.884
8.823762,1772,1.65,183.5668,1249.099
7.819539,1766,0.92,185.6039,1068.228
8.768324,1761,-0.05,185.7631,1306.208
8.126934,1703,-0.05,181.9128,1149.913
9.072507,1759,0.66,175.391,1292.724
8.579271,1722,-0.03,177.3163,1226.089
8.905629,1761,0.46,179.6648,1314.021
10.38483,1778,2.49,179.2209,1787.291
9.562819,1745,-0.04,177.4714,1486.489
9.166626,1752,0.36,181.3008,1451.709
7.532386,1270,-0.04,163.4036,754.7843
5.224799,1107,-0.05,202.7183,348.3599
6.051444,1530,-0.04,190.2981,493.5078
7.25622,1696,1.14,185.5495,788.1993
5.137858,1353,-0.03,183.1293,297.0722
6.334674,1461,-0.05,168.6533,570.7572
5.881296,1430,-0.04,190.7751,388.3507
6.364511,1060,-0.01,187.4052,512.1274
8.333407,1686,-0.02,179.7617,1086.57
